input log file location, C:\Users\qc_de\AppData\Local\Temp\quad-bench\out\part3_of_4_prompt_ar128_cl512_3_of_4\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.32.6.250402152434_116405
qnn-net-run version, v2.32.6.250402152434_116405
Backend version, v2.45.0.260326154327
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
43055231845,INIT,1378473,US,NETRUN,ROOT,null
43055231845,INIT,982720,US,BACKEND,ROOT,RPC (load binary) time
43055231845,INIT,969714,US,BACKEND,ROOT,QNN accelerator (load binary) time
43055231845,INIT,94525,US,BACKEND,ROOT,Accelerator (load binary) time
43055231845,INIT,88230,US,BACKEND,ROOT,Accelerator (load binary) time
43055231845,INIT,62767,US,BACKEND,ROOT,Accelerator (load binary) time
43055231845,INIT,80296,US,BACKEND,ROOT,Accelerator (load binary) time
43055231845,INIT,68804,US,BACKEND,ROOT,Accelerator (load binary) time
43055231845,INIT,101397,US,BACKEND,ROOT,Accelerator (load binary) time
43055231845,INIT,115272,US,BACKEND,ROOT,Accelerator (load binary) time
43055231845,INIT,134387,US,BACKEND,ROOT,Accelerator (load binary) time
43055231845,INIT,86011,US,BACKEND,ROOT,Accelerator (load binary) time
43055231845,INIT,134647,US,BACKEND,ROOT,Accelerator (load binary) time
43055231845,INIT,1378421,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
43060430043,DE-INIT,323326,US,NETRUN,ROOT,null
43060430043,DE-INIT,4110,US,BACKEND,ROOT,RPC (deinit) time
43060430043,DE-INIT,3175,US,BACKEND,ROOT,QNN Accelerator (deinit) time
43060430043,DE-INIT,321,US,BACKEND,ROOT,Accelerator (deinit) time
43060430043,DE-INIT,250,US,BACKEND,ROOT,Accelerator (deinit) time
43060430043,DE-INIT,253,US,BACKEND,ROOT,Accelerator (deinit) time
43060430043,DE-INIT,240,US,BACKEND,ROOT,Accelerator (deinit) time
43060430043,DE-INIT,234,US,BACKEND,ROOT,Accelerator (deinit) time
43060430043,DE-INIT,240,US,BACKEND,ROOT,Accelerator (deinit) time
43060430043,DE-INIT,245,US,BACKEND,ROOT,Accelerator (deinit) time
43060430043,DE-INIT,259,US,BACKEND,ROOT,Accelerator (deinit) time
43060430043,DE-INIT,241,US,BACKEND,ROOT,Accelerator (deinit) time
43060430043,DE-INIT,789,US,BACKEND,ROOT,Accelerator (deinit) time
43060430043,DE-INIT,323309,US,BACKEND,ROOT,QNN (deinit) time
43055577373,EXECUTE,78169,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_3_of_4
43055577373,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43055577373,EXECUTE,74902,US,BACKEND,ROOT,RPC (execute) time
43055577373,EXECUTE,74221,US,BACKEND,ROOT,QNN accelerator (execute) time
43055577373,EXECUTE,73998,US,BACKEND,ROOT,Accelerator (execute) time
43055577373,EXECUTE,72878,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43055577373,EXECUTE,78141,US,BACKEND,ROOT,QNN (execute) time
43056197800,EXECUTE,75001,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_3_of_4
43056197800,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43056197800,EXECUTE,74275,US,BACKEND,ROOT,RPC (execute) time
43056197800,EXECUTE,73436,US,BACKEND,ROOT,QNN accelerator (execute) time
43056197800,EXECUTE,73186,US,BACKEND,ROOT,Accelerator (execute) time
43056197800,EXECUTE,72755,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43056197800,EXECUTE,74981,US,BACKEND,ROOT,QNN (execute) time
43056278764,EXECUTE,74833,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_3_of_4
43056278764,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43056278764,EXECUTE,74018,US,BACKEND,ROOT,RPC (execute) time
43056278764,EXECUTE,73010,US,BACKEND,ROOT,QNN accelerator (execute) time
43056278764,EXECUTE,72774,US,BACKEND,ROOT,Accelerator (execute) time
43056278764,EXECUTE,72646,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43056278764,EXECUTE,74816,US,BACKEND,ROOT,QNN (execute) time
43056359058,EXECUTE,74508,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_3_of_4
43056359058,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43056359058,EXECUTE,73791,US,BACKEND,ROOT,RPC (execute) time
43056359058,EXECUTE,73023,US,BACKEND,ROOT,QNN accelerator (execute) time
43056359058,EXECUTE,72791,US,BACKEND,ROOT,Accelerator (execute) time
43056359058,EXECUTE,72646,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43056359058,EXECUTE,74489,US,BACKEND,ROOT,QNN (execute) time
43056439396,EXECUTE,74577,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_3_of_4
43056439396,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43056439396,EXECUTE,73867,US,BACKEND,ROOT,RPC (execute) time
43056439396,EXECUTE,73077,US,BACKEND,ROOT,QNN accelerator (execute) time
43056439396,EXECUTE,72849,US,BACKEND,ROOT,Accelerator (execute) time
43056439396,EXECUTE,72712,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43056439396,EXECUTE,74563,US,BACKEND,ROOT,QNN (execute) time
43056518293,EXECUTE,74520,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_3_of_4
43056518293,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43056518293,EXECUTE,73847,US,BACKEND,ROOT,RPC (execute) time
43056518293,EXECUTE,73050,US,BACKEND,ROOT,QNN accelerator (execute) time
43056518293,EXECUTE,72813,US,BACKEND,ROOT,Accelerator (execute) time
43056518293,EXECUTE,72670,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43056518293,EXECUTE,74508,US,BACKEND,ROOT,QNN (execute) time
43056597355,EXECUTE,74590,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_3_of_4
43056597355,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43056597355,EXECUTE,73869,US,BACKEND,ROOT,RPC (execute) time
43056597355,EXECUTE,73058,US,BACKEND,ROOT,QNN accelerator (execute) time
43056597355,EXECUTE,72828,US,BACKEND,ROOT,Accelerator (execute) time
43056597355,EXECUTE,72685,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43056597355,EXECUTE,74577,US,BACKEND,ROOT,QNN (execute) time
43056676993,EXECUTE,74511,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_3_of_4
43056676993,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43056676993,EXECUTE,73815,US,BACKEND,ROOT,RPC (execute) time
43056676993,EXECUTE,73016,US,BACKEND,ROOT,QNN accelerator (execute) time
43056676993,EXECUTE,72777,US,BACKEND,ROOT,Accelerator (execute) time
43056676993,EXECUTE,72635,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43056676993,EXECUTE,74492,US,BACKEND,ROOT,QNN (execute) time
43056758008,EXECUTE,75334,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_3_of_4
43056758008,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43056758008,EXECUTE,74478,US,BACKEND,ROOT,RPC (execute) time
43056758008,EXECUTE,73350,US,BACKEND,ROOT,QNN accelerator (execute) time
43056758008,EXECUTE,73078,US,BACKEND,ROOT,Accelerator (execute) time
43056758008,EXECUTE,72896,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43056758008,EXECUTE,75310,US,BACKEND,ROOT,QNN (execute) time
43056842579,EXECUTE,76728,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_3_of_4
43056842579,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43056842579,EXECUTE,75443,US,BACKEND,ROOT,RPC (execute) time
43056842579,EXECUTE,74294,US,BACKEND,ROOT,QNN accelerator (execute) time
43056842579,EXECUTE,73999,US,BACKEND,ROOT,Accelerator (execute) time
43056842579,EXECUTE,73817,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43056842579,EXECUTE,76697,US,BACKEND,ROOT,QNN (execute) time
43056923984,EXECUTE,74851,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_3_of_4
43056923984,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43056923984,EXECUTE,74052,US,BACKEND,ROOT,RPC (execute) time
43056923984,EXECUTE,73240,US,BACKEND,ROOT,QNN accelerator (execute) time
43056923984,EXECUTE,73011,US,BACKEND,ROOT,Accelerator (execute) time
43056923984,EXECUTE,72871,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43056923984,EXECUTE,74836,US,BACKEND,ROOT,QNN (execute) time
43057004135,EXECUTE,75059,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_3_of_4
43057004135,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43057004135,EXECUTE,73863,US,BACKEND,ROOT,RPC (execute) time
43057004135,EXECUTE,73025,US,BACKEND,ROOT,QNN accelerator (execute) time
43057004135,EXECUTE,72779,US,BACKEND,ROOT,Accelerator (execute) time
43057004135,EXECUTE,72632,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43057004135,EXECUTE,75044,US,BACKEND,ROOT,QNN (execute) time
43057086196,EXECUTE,75010,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_3_of_4
43057086196,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
43057086196,EXECUTE,74299,US,BACKEND,ROOT,RPC (execute) time
43057086196,EXECUTE,73480,US,BACKEND,ROOT,QNN accelerator (execute) time
43057086196,EXECUTE,73246,US,BACKEND,ROOT,Accelerator (execute) time
43057086196,EXECUTE,73102,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
43057086196,EXECUTE,74995,US,BACKEND,ROOT,QNN (execute) time
43057165557,EXECUTE,74482,US,NETRUN,ROOT,Graph 0: prompt_ar128_cl512_3_of_4
