input log file location, C:\Users\qc_de\AppData\Local\Temp\quad-bench\out\part4_of_4_token_ar1_cl4096_4_of_4\qnn-profiling-data_0.log
qnn-profile-viewer version, v2.32.6.250402152434_116405
qnn-net-run version, v2.32.6.250402152434_116405
Backend version, v2.45.0.260326154327
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
42950731050,INIT,1802247,US,NETRUN,ROOT,null
42950731050,INIT,1261896,US,BACKEND,ROOT,RPC (load binary) time
42950731050,INIT,1249554,US,BACKEND,ROOT,QNN accelerator (load binary) time
42950731050,INIT,139577,US,BACKEND,ROOT,Accelerator (load binary) time
42950731050,INIT,98759,US,BACKEND,ROOT,Accelerator (load binary) time
42950731050,INIT,114981,US,BACKEND,ROOT,Accelerator (load binary) time
42950731050,INIT,95507,US,BACKEND,ROOT,Accelerator (load binary) time
42950731050,INIT,134691,US,BACKEND,ROOT,Accelerator (load binary) time
42950731050,INIT,119904,US,BACKEND,ROOT,Accelerator (load binary) time
42950731050,INIT,115705,US,BACKEND,ROOT,Accelerator (load binary) time
42950731050,INIT,167161,US,BACKEND,ROOT,Accelerator (load binary) time
42950731050,INIT,162061,US,BACKEND,ROOT,Accelerator (load binary) time
42950731050,INIT,98105,US,BACKEND,ROOT,Accelerator (load binary) time
42950731050,INIT,1802205,US,BACKEND,ROOT,QNN (load binary) time
0,COMPOSE GRAPHS,0,US,NETRUN,ROOT,null
42958301941,DE-INIT,462019,US,NETRUN,ROOT,null
42958301941,DE-INIT,4727,US,BACKEND,ROOT,RPC (deinit) time
42958301941,DE-INIT,3715,US,BACKEND,ROOT,QNN Accelerator (deinit) time
42958301941,DE-INIT,384,US,BACKEND,ROOT,Accelerator (deinit) time
42958301941,DE-INIT,282,US,BACKEND,ROOT,Accelerator (deinit) time
42958301941,DE-INIT,318,US,BACKEND,ROOT,Accelerator (deinit) time
42958301941,DE-INIT,435,US,BACKEND,ROOT,Accelerator (deinit) time
42958301941,DE-INIT,308,US,BACKEND,ROOT,Accelerator (deinit) time
42958301941,DE-INIT,271,US,BACKEND,ROOT,Accelerator (deinit) time
42958301941,DE-INIT,258,US,BACKEND,ROOT,Accelerator (deinit) time
42958301941,DE-INIT,264,US,BACKEND,ROOT,Accelerator (deinit) time
42958301941,DE-INIT,266,US,BACKEND,ROOT,Accelerator (deinit) time
42958301941,DE-INIT,800,US,BACKEND,ROOT,Accelerator (deinit) time
42958301941,DE-INIT,461994,US,BACKEND,ROOT,QNN (deinit) time
42951205506,EXECUTE,80834,US,NETRUN,ROOT,Graph 0: token_ar1_cl4096_4_of_4
42951205506,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
42951205506,EXECUTE,74775,US,BACKEND,ROOT,RPC (execute) time
42951205506,EXECUTE,74129,US,BACKEND,ROOT,QNN accelerator (execute) time
42951205506,EXECUTE,73930,US,BACKEND,ROOT,Accelerator (execute) time
42951205506,EXECUTE,72785,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
42951205506,EXECUTE,80810,US,BACKEND,ROOT,QNN (execute) time
42951370083,EXECUTE,77978,US,NETRUN,ROOT,Graph 0: token_ar1_cl4096_4_of_4
42951370083,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
42951370083,EXECUTE,74129,US,BACKEND,ROOT,RPC (execute) time
42951370083,EXECUTE,73229,US,BACKEND,ROOT,QNN accelerator (execute) time
42951370083,EXECUTE,72983,US,BACKEND,ROOT,Accelerator (execute) time
42951370083,EXECUTE,72831,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
42951370083,EXECUTE,77957,US,BACKEND,ROOT,QNN (execute) time
42951505309,EXECUTE,77620,US,NETRUN,ROOT,Graph 0: token_ar1_cl4096_4_of_4
42951505309,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
42951505309,EXECUTE,73992,US,BACKEND,ROOT,RPC (execute) time
42951505309,EXECUTE,73169,US,BACKEND,ROOT,QNN accelerator (execute) time
42951505309,EXECUTE,72929,US,BACKEND,ROOT,Accelerator (execute) time
42951505309,EXECUTE,72786,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
42951505309,EXECUTE,77604,US,BACKEND,ROOT,QNN (execute) time
42951653792,EXECUTE,79448,US,NETRUN,ROOT,Graph 0: token_ar1_cl4096_4_of_4
42951653792,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
42951653792,EXECUTE,74432,US,BACKEND,ROOT,RPC (execute) time
42951653792,EXECUTE,73525,US,BACKEND,ROOT,QNN accelerator (execute) time
42951653792,EXECUTE,73267,US,BACKEND,ROOT,Accelerator (execute) time
42951653792,EXECUTE,73124,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
42951653792,EXECUTE,79431,US,BACKEND,ROOT,QNN (execute) time
42951785529,EXECUTE,78398,US,NETRUN,ROOT,Graph 0: token_ar1_cl4096_4_of_4
42951785529,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
